,id_api,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title_api,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength,stage_to_speech,num_id,title_auth_meta,pubdate,auth_name,gender,nation1,nation2,ethnicity,playtype,genre1,genre2,genre3,title.1,pubdate.1,auth_name.1,gender.1,nation1.1,nation2.1,ethnicity.1,playtype.1,genre1.1,genre2.1,genre3.1,id_auth_meta
342,am298,dunlap-william-false-shame,dunlap-william-false-shame,,,False,"Dunlap, William",False Shame,,0,several characters,4,4,9,0,0,0,0,1130,12,,24537,22989,1415,,,1942,1942.0,,,,,,7.333333333333333,0.9166666666666661,0.92989417989418,9.0,8.0,1.0,33.0,2.0,1.083333333333333,0.061551176649702034,298,False Shame,1942.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,verse,Melodrama,unknown,unknown,False Shame,1942.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,verse,Melodrama,unknown,unknown,298.0
343,am296,dunlap-william-fontainville-abbey,dunlap-william-fontainville-abbey,,,False,"Dunlap, William",Fontainville Abbey (1807),,0,adeline|peter|madamelamotte,9,5,9,0,0,0,0,0,1539,,13675,13022,926,,,1807,1807.0,,,,,,6.222222222222222,0.777777777777777,0.9047619047619041,9.0,8.0,1.0,28.0,2.0,1.222222222222222,0.0711104285056059,296,Fontainville Abbey (1807),1807.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,verse,Tragedy,Drama,unknown,Fontainville Abbey (1807),1807.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,verse,Tragedy,Drama,unknown,296.0
344,am297,dunlap-william-fraternal-discord,dunlap-william-fraternal-discord,,,False,"Dunlap, William",Fraternal Discord (1809),,0,charlotte|semblance|doctorbloomfield,6,5,11,0,0,0,0,1085,8,,20151,19331,1267,,,1809,1809.0,,,,,,7.818181818181818,0.7818181818181811,0.8706349206349201,11.0,10.0,1.0,43.0,2.0,1.218181818181818,0.06554239304743675,297,Fraternal Discord (1809),1809.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,prose,Drama,unknown,unknown,Fraternal Discord (1809),1809.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,prose,Drama,unknown,unknown,297.0
345,am293,dunlap-william-leicester,dunlap-william-leicester,,,False,"Dunlap, William",Leicester (1807),,0,several characters,8,5,8,0,0,0,0,0,1710,,15349,14083,727,,,1807,1807.0,,,,,,6.75,0.9642857142857141,0.9642857142857141,8.0,7.0,1.0,27.0,2.0,1.035714285714285,0.051622523610026276,293,Leicester (1807),1807.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,verse,Tragedy,Drama,unknown,Leicester (1807),1807.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,verse,Tragedy,Drama,unknown,293.0
346,am290,dunlap-william-lovers-vows,dunlap-william-lovers-vows,,,False,"Dunlap, William",Lovers Vows (1814),,0,theodosia|frederick,9,5,20,0,0,0,0,803,31,,21436,20886,1427,,,1814,1814.0,,,,,,7.6,0.4,0.835015262515262,20.0,15.0,1.0,76.0,3.0,1.663157894736842,0.06832327875131668,290,Lovers Vows (1814),1814.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,prose,Drama,unknown,unknown,Lovers Vows (1814),1814.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,prose,Drama,unknown,unknown,290.0
347,am291,dunlap-william-peter-the-great,dunlap-william-peter-the-great,,,False,"Dunlap, William",Peter the Great (1814),,0,sophiasuderow|iwansuderow,7,4,12,0,0,0,0,691,0,,15732,15104,1020,,,1814,1814.0,,,,,,8.5,0.772727272727272,0.8834475709475701,12.0,11.0,1.0,51.0,2.0,1.227272727272727,0.06753177966101695,291,Peter the Great (1814),1814.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,prose,Drama,unknown,unknown,Peter the Great (1814),1814.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,prose,Drama,unknown,unknown,291.0
348,am288,dunlap-william-pizarro-in-peru,dunlap-william-pizarro-in-peru,,,False,"Dunlap, William",Pizarro in Peru (1800),,0,rolla,13,5,28,0,0,0,0,808,25,,21447,15519,1312,,,1800,1800.0,,,,,,10.5,0.388888888888888,0.822718228501068,28.0,22.0,1.0,147.0,3.0,1.693121693121693,0.08454152973774083,288,Pizarro in Peru (1800),1800.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,prose,Drama,History,unknown,Pizarro in Peru (1800),1800.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,prose,Drama,History,unknown,288.0
349,am289,dunlap-william-ribbemont,dunlap-william-ribbemont,,,False,"Dunlap, William",Ribbemont (1803),,0,manuel,10,5,9,0,0,0,0,0,1487,,12814,12320,707,,,1803,1803.0,,,,,,5.111111111111111,0.6388888888888881,0.7738095238095231,9.0,8.0,1.0,23.0,2.0,1.3611111111111112,0.05738636363636364,289,Ribbemont (1803),1803.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,verse,Tragedy,Drama,unknown,Ribbemont (1803),1803.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,verse,Tragedy,Drama,unknown,289.0
350,am286,dunlap-william-rinaldo-rinaldini,dunlap-william-rinaldo-rinaldini,,,False,"Dunlap, William",Rinaldo Rinaldini (1810),,0,rinaldorinaldini,21,5,36,0,0,0,0,29,1840,,15722,14162,1264,,,1810,1810.0,,,,,,7.055555555555555,0.201587301587301,0.891606364768129,36.0,35.0,1.0,127.0,2.0,1.798412698412698,0.08925293037706539,286,Rinaldo Rinaldini (1810),1810.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,verse,Tragedy,Drama,unknown,Rinaldo Rinaldini (1810),1810.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,verse,Tragedy,Drama,unknown,286.0
351,am287,dunlap-william-tell-truth-and-shame-the,dunlap-william-tell-truth-and-shame-the,,,False,"Dunlap, William",Tell Truth and Shame the Devil (1797),,0,several characters,5,2,4,0,0,0,0,395,2,,8325,7878,257,,,1797,1797.0,,,,,,3.0,1.0,1.0,4.0,3.0,1.0,6.0,1.0,1.0,0.03262249301853262,287,Tell Truth and Shame the Devil (1797),1797.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,prose,Comedy,unknown,unknown,Tell Truth and Shame the Devil (1797),1797.0,"Dunlap, William, 1766-1839",M,American,North American,unknown,prose,Comedy,unknown,unknown,287.0
